City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Severo-Kurilsk,RU,50.6789,156.125,28.74,93,100,6.02,snow
211,Aksu,CN,41.1231,80.2644,25.23,50,72,3.29,broken clouds
212,Poum,NC,-20.2333,164.0167,80.76,72,97,3.8,overcast clouds
213,Carutapera,BR,-1.195,-46.02,80.04,87,99,8.23,overcast clouds
214,Klaksvik,FO,62.2266,-6.589,36.52,89,96,33.76,overcast clouds
215,Saint-Georges,GD,12.0564,-61.7485,79.95,69,30,13.18,scattered clouds
216,Hargeysa,SO,9.56,44.065,63.72,43,97,7.49,overcast clouds
217,Ardakan,IR,32.31,54.0175,52.18,19,10,6.82,clear sky
218,Eureka,US,40.8021,-124.1637,52.2,54,67,3.22,broken clouds
219,Torbay,CA,47.6666,-52.7314,49.75,94,100,10.0,moderate rain
220,Alice Springs,AU,-23.7,133.8833,60.35,82,0,5.75,clear sky
221,Muroto,JP,33.2833,134.15,39.7,54,28,13.0,scattered clouds
222,Bubaque,GW,11.2833,-15.8333,79.07,57,0,13.51,clear sky
223,Berkak,NO,62.825,10.0118,23.79,81,70,11.32,broken clouds
224,Collie,AU,-33.3667,116.15,71.19,28,1,2.95,clear sky
225,Coihaique,CL,-45.5752,-72.0662,70.41,46,75,8.05,broken clouds
226,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,21.85,few clouds
227,Mopti,ML,14.6667,-4.0,86.04,21,0,4.61,clear sky
228,Hofn,IS,64.2539,-15.2082,29.61,52,100,7.67,overcast clouds
229,Sembakung,ID,3.8167,117.25,72.73,99,100,0.92,overcast clouds
230,Oeiras,BR,-7.0253,-42.1311,97.25,30,31,4.97,scattered clouds
231,Port Lincoln,AU,-34.7333,135.8667,66.11,81,100,15.12,overcast clouds
232,Tandalti,SD,13.0167,31.8667,64.74,15,63,12.59,broken clouds
233,Namibe,AO,-15.1961,12.1522,74.48,67,69,11.97,broken clouds
234,Sola,VU,-13.8833,167.55,82.42,77,100,21.05,overcast clouds
235,Lashio,MM,22.9333,97.75,52.3,81,1,0.45,clear sky
236,Moranbah,AU,-22.0016,148.0466,69.33,75,32,10.89,scattered clouds
237,Shelburne,CA,44.0787,-80.2041,16.25,69,28,5.48,scattered clouds
238,Khash,IR,28.2211,61.2158,57.45,28,0,13.96,clear sky
239,Tiksi,RU,71.6872,128.8694,-22.23,98,96,7.54,overcast clouds
240,Grand Gaube,MU,-20.0064,57.6608,80.38,81,100,8.01,overcast clouds
241,Bugiri,UG,0.5714,33.7417,65.84,79,98,7.18,overcast clouds
242,Makushino,RU,55.2103,67.2442,16.07,85,100,8.19,overcast clouds
243,Korla,CN,41.7597,86.1469,25.29,40,99,9.06,overcast clouds
244,Terney,RU,45.0503,136.6092,2.68,80,43,13.15,scattered clouds
245,Mpongwe,ZM,-13.5091,28.155,62.17,98,82,1.54,broken clouds
246,Haines Junction,CA,60.7522,-137.5108,8.55,92,99,4.61,overcast clouds
247,Winslow,US,35.0242,-110.6974,41.31,28,0,3.44,clear sky
248,Pacific Grove,US,36.6177,-121.9166,61.56,60,0,3.0,clear sky
249,Mandalgovi,MN,45.7625,106.2708,2.98,76,0,6.78,clear sky
250,Barrow,US,71.2906,-156.7887,-12.98,70,75,12.66,broken clouds
251,Eyl,SO,7.9803,49.8164,74.75,68,21,10.98,few clouds
252,Santa Rosa,PH,14.3122,121.1114,78.12,70,95,14.0,overcast clouds
253,Gus-Zheleznyy,RU,55.0581,41.1656,1.71,100,68,3.29,broken clouds
254,Port Hardy,CA,50.6996,-127.4199,41.76,85,70,5.86,broken clouds
255,Ancud,CL,-41.8697,-73.8203,72.23,58,8,7.56,clear sky
256,Rocha,UY,-34.4833,-54.3333,77.68,60,63,14.67,broken clouds
257,Kloulklubed,PW,7.0419,134.2556,81.1,80,58,23.55,broken clouds
258,Porbandar,IN,21.6422,69.6093,67.89,65,1,5.41,clear sky
259,Rivne,UA,50.6231,26.2274,35.83,86,98,11.48,overcast clouds
260,Ilulissat,GL,69.2167,-51.1,6.82,47,75,11.5,broken clouds
261,Itupiranga,BR,-5.1347,-49.3267,86.32,80,93,1.74,overcast clouds
262,Songkhla,TH,6.8333,100.6667,80.65,85,72,8.75,broken clouds
263,Taman,RU,45.2117,36.7161,32.34,73,49,14.29,scattered clouds
264,Ambanja,MG,-13.6833,48.45,73.18,91,100,3.36,light rain
265,Chara,RU,56.9064,118.2631,-17.05,81,70,1.52,broken clouds
266,Berga,NO,60.392,5.328,43.65,87,75,20.71,broken clouds
267,Ostrovnoy,RU,68.0531,39.5131,15.93,82,100,32.01,overcast clouds
268,Paamiut,GL,61.994,-49.6678,1.04,82,95,7.09,overcast clouds
269,Pontianak,ID,-0.0333,109.3333,76.98,100,75,1.14,light rain
270,Soria,ES,41.6667,-2.6667,42.01,55,41,6.46,scattered clouds
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,79,67,25.3,broken clouds
272,Morant Bay,JM,17.8815,-76.4093,87.42,55,36,11.05,scattered clouds
273,Saskylakh,RU,71.9167,114.0833,-27.27,100,85,3.62,overcast clouds
274,Doka,SD,13.5167,35.7667,74.5,22,15,12.77,few clouds
275,Niquero,CU,20.0431,-77.5828,83.43,41,5,13.71,clear sky
276,Rostovka,RU,55.3842,71.8891,9.88,81,100,8.16,overcast clouds
277,Abu Kamal,SY,34.4506,40.9171,52.86,53,9,7.92,clear sky
278,Brigantine,US,39.4101,-74.3646,32.34,51,0,25.32,clear sky
279,Emerald,AU,-23.5333,148.1667,67.33,60,1,9.1,clear sky
280,Samarai,PG,-10.6167,150.6667,79.97,82,100,8.86,overcast clouds
281,Avera,US,33.194,-82.5271,50.68,47,21,7.43,few clouds
282,Katsuura,JP,35.1333,140.3,35.62,44,31,5.14,scattered clouds
283,Dubno,UA,50.4169,25.7343,35.89,96,93,11.92,overcast clouds
284,Sept-Iles,CA,50.2001,-66.3821,10.06,47,100,3.0,overcast clouds
285,Kumba,CM,4.6363,9.4469,79.74,68,30,4.0,scattered clouds
286,Akyab,MM,20.15,92.9,69.57,85,8,3.8,clear sky
287,Shaoguan,CN,24.8,113.5833,46.08,84,97,2.51,light rain
